DATE,TRUCK,TRIP #,LEG ORG,LEG DEST,ZIP/POSTAL,MILES QTY,VMR RATE,MILEAGE PLUS,PREMIUMS,FUEL,TOTAL RATE,$ AMT,# PKGS,PKG $ AMT,D AND H,TOLLS,FLAT RATE,DAILY GROSS $ AMT,DRIVER #1,DRIVER #2
30-11-18,321,119282952,7820,432,61858,285,1.305,0.085,0,0.2545,1.6445,468.69,0,0,13,0,0,481.69,7441635,
3-11-18,321,117982671,432,7820,43123,286,1.305,0.095,0,0.2707,1.6707,477.82,0,0,13,0,0,490.82,7741037,
3-11-18,321,118007145,7820,432,61858,285,1.305,0.095,0,0.2707,1.6707,476.16,0,0,13,0,0,489.16,7741037,
8-11-18,321,118195950,432,7820,43123,286,1.305,0.095,0,0.2707,1.6707,477.82,0,0,13,0,0,490.82,7741037,
8-11-18,321,118205119,7820,432,61858,285,1.305,0.095,0,0.2707,1.6707,476.16,0,0,13,0,0,489.16,7741037,
9-11-18,321,118250336,432,7820,43123,286,1.305,0.095,0,0.2707,1.6707,477.82,0,0,13,0,0,490.82,7763609,
9-11-18,321,118257177,7820,432,61858,285,1.305,0.095,0,0.2707,1.6707,476.16,0,0,13,0,0,489.16,7763609,
24-11-18,321,118927637,432,7820,43123,286,1.305,0.095,0,0.2382,1.6382,468.53,0,0,13,0,0,481.53,7763609,
24-11-18,321,118942026,7820,432,61858,285,1.305,0.095,0,0.2382,1.6382,466.9,0,0,13,0,0,479.9,7763609,
25-11-18,321,118952902,432,5436,43123,15,2.365,0.095,0,0.2382,2.6982,40.48,0,0,9,0,0,49.48,7741037,
25-11-18,321,118965425,5436,5481,43125,208,1.305,0.095,0,0.2382,1.6382,340.75,0,0,9,0,0,349.75,7741037,
25-11-18,321,118967493,5481,5436,48111,209,1.305,0.095,0,0.2382,1.6382,342.39,0,0,9,0,0,351.39,7741037,
25-11-18,321,118971549,5436,432,43125,16,2.329,0.095,0,0.2382,2.6622,42.59,0,0,9,0,0,51.59,7741037,
26-11-18,321,118999590,432,5431,43123,9,2.614,0.095,0,0.2382,2.9472,26.53,0,0,9,0,0,35.53,7741037,
26-11-18,321,119000324,5431,619,43123,306,1.305,0.095,0,0.2382,1.6382,501.29,0,0,13,0,0,514.29,7741037,
26-11-18,321,119007722,619,432,61822,311,1.305,0.095,0,0.2382,1.6382,509.49,0,0,9,0,0,518.49,7741037,
27-11-18,321,119063624,432,7820,43123,286,1.305,0.095,0,0.2382,1.6382,468.53,0,0,13,0,0,481.53,7763609,
27-11-18,321,119074600,7820,432,61858,285,1.305,0.095,0,0.2382,1.6382,466.9,0,0,13,0,0,479.9,7763609,
28-11-18,321,119121035,432,7820,43123,286,1.305,0.095,0,0.2382,1.6382,468.53,0,0,13,0,0,481.53,7763609,
28-11-18,321,119147242,7820,432,61858,285,1.305,0.095,0,0.2382,1.6382,466.9,0,0,13,0,0,479.9,7763609,
29-11-18,321,119182965,432,7820,43123,286,1.305,0.095,0,0.2382,1.6382,468.53,0,0,13,0,0,481.53,7763609,
29-11-18,321,119221317,7820,432,61858,285,1.305,0.095,0,0.2382,1.6382,466.9,0,0,13,0,0,479.9,7763609,
30-11-18,321,119279681,432,7820,43123,286,1.305,0.095,0,0.2382,1.6382,468.53,0,0,13,0,0,481.53,7763609,
30-11-18,321,119296880,7820,432,61858,285,1.305,0.095,0,0.2382,1.6382,466.9,0,0,13,0,0,479.9,7763609,
7-11-18,456,118107363,432,8580,43123,1048,1.416,0.125,0,0.3033,1.8443,1932.83,0,0,13,0,0,1945.83,7362917,8035737
7-11-18,456,118154186,8580,432,58071,1047,1.416,0.125,0,0.3033,1.8443,1930.99,0,0,13,0,25.55,1969.54,7362917,8035737
8-11-18,456,118218125,432,8580,43123,1048,1.416,0.125,0,0.3033,1.8443,1932.83,0,0,13,0,0,1945.83,7362917,8035737
9-11-18,456,118264186,8580,432,58071,1047,1.416,0.125,0,0.3033,1.8443,1930.99,0,0,13,0,25.55,1969.54,7362917,8035737
28-11-18,456,119095518,432,8580,43123,1048,1.416,0.125,0,0.2707,1.8117,1898.66,0,0,13,0,0,1911.66,7362917,8035737
28-11-18,456,119156314,8580,432,58071,1047,1.416,0.125,0,0.2707,1.8117,1896.85,0,0,13,0,25.55,1935.4,7362917,8035737
30-11-18,456,119239405,432,8580,43123,1048,1.416,0.125,0,0.2707,1.8117,1898.66,0,0,13,0,0,1911.66,7362917,8035737
30-11-18,456,119298306,8580,432,58071,1047,1.416,0.125,0,0.2707,1.8117,1896.85,0,0,13,0,25.55,1935.4,7362917,8035737
4-11-18,456,118023265,344,406,34475,814,1.416,0.115,0,0.2707,1.8017,1466.58,0,0,13,0,0,1479.58,7103293,7379575
24-11-18,456,118938098,923,406,92316,2132,1.416,0.115,0,0.2545,1.7855,3806.68,0,0,13,0,0,3819.68,7103293,7379575
26-11-18,456,118992383,406,432,41051,113,1.504,0.115,0,0.2545,1.8735,211.71,0,0,13,0,0,224.71,7103293,7379575
28-11-18,456,119150136,432,406,43123,113,1.504,0.115,0,0.2545,1.8735,211.71,0,0,0,0,0,211.71,7103293,7379575
28-11-18,456,119150286,406,462,41051,127,1.466,0.115,0,0.2545,1.8355,233.11,0,0,9,0,0,242.11,7103293,7379575
28-11-18,456,119153666,462,644,46218,488,1.416,0.115,0,0.2545,1.7855,871.33,0,0,13,0,0,884.33,7103293,7379575
29-11-18,456,119183492,644,850,64161,1265,1.416,0.115,0,0.2545,1.7855,2258.66,0,0,13,0,0,2271.66,7103293,7379575
30-11-18,456,119290151,850,8518,85043,16,2.697,0.115,0,0.2545,3.0665,49.06,0,0,25,0,0,74.06,7103293,7379575
30-11-18,456,119294426,8518,923,85338,306,1.416,0.115,0,0.2545,1.7855,546.37,0,0,13,0,0,559.37,7103293,7379575
30-11-18,456,119310542,923,344,92316,2386,1.416,0.115,0,0.2545,1.7855,4260.21,0,0,13,0,0,4273.21,7103293,7379575
3-11-18,456,118006750,344,406,34475,814,1.416,0.125,0,0.2707,1.8117,1474.72,0,0,13,0,0,1487.72,7131443,7714921
6-11-18,456,118089229,406,461,41051,141,1.434,0.125,0,0.2707,1.8297,257.99,0,0,13,0,0,270.99,7131443,7714921
6-11-18,456,118092540,461,923,46077,2041,1.416,0.125,0,0.2707,1.8117,3697.69,0,0,13,0,0,3710.69,7131443,7714921
8-11-18,456,118200147,923,344,92316,2386,1.416,0.125,0,0.2707,1.8117,4322.72,0,0,13,0,0,4335.72,7131443,7714921
24-11-18,456,118939545,344,299,34475,241,1.416,0.125,0,0.2382,1.7792,428.8,0,0,13,0,0,441.8,7131443,7714921
24-11-18,456,118947617,299,432,31407,674,1.416,0.125,0,0.2382,1.7792,1199.18,0,0,13,0,0,1212.18,7131443,7714921
27-11-18,456,119074603,406,400,41051,89,1.591,0.125,0,0.2382,1.9542,173.93,0,0,13,0,0,186.93,7131443,7714921
27-11-18,456,119078647,400,923,40299,2067,1.416,0.125,0,0.2382,1.7792,3677.61,0,0,13,0,0,3690.61,7131443,7714921
29-11-18,456,119213423,923,344,92316,2386,1.416,0.125,0,0.2382,1.7792,4245.18,0,0,13,0,0,4258.18,7131443,7714921
3-11-18,456,117979947,406,7153,41051,553,1.416,0.115,0,0.287,1.818,1005.36,0,0,13,0,0,1018.36,8156986,8156988
4-11-18,456,118011439,7153,406,18631,552,1.416,0.115,0,0.287,1.818,1003.53,0,0,13,0,0,1016.53,8156986,8156988
6-11-18,456,118061309,406,7153,41051,553,1.416,0.115,0,0.287,1.818,1005.36,0,0,13,0,0,1018.36,8156986,8156988
6-11-18,456,118107097,7153,406,18631,552,1.416,0.115,0,0.287,1.818,1003.53,0,0,13,0,0,1016.53,8156986,8156988
7-11-18,456,118140080,406,8386,41051,474,1.416,0.115,0,0.287,1.818,861.73,0,0,13,0,0,874.73,8156986,8156988
7-11-18,456,118151810,8386,406,72301,473,1.416,0.115,0,0.287,1.818,859.92,0,0,13,0,0,872.92,8156986,8156988
8-11-18,456,118173174,406,7153,41051,553,1.416,0.115,0,0.287,1.818,1005.36,0,0,13,0,0,1018.36,8156986,8156988
8-11-18,456,118205790,7153,406,18631,552,1.416,0.115,0,0.287,1.818,1003.53,0,0,13,0,0,1016.53,8156986,8156988
9-11-18,456,118227777,406,7153,41051,553,1.416,0.115,0,0.287,1.818,1005.36,0,0,13,0,0,1018.36,8156986,8156988
